011	#-6:5	-17:13	=0:0	-36:4	BD0.146166:BI0.010084:BF0.156250	DD0.146166:DI0.010084:DF0.156250	UD0.000000:UI0.000000:UF0.000000	org.jfree.chart.plot.CategoryPlot::drawRangeCrosshair(Graphics2D, Rectangle2D, PlotOrientation, double, ValueAxis, Stroke, Paint):void	org.jfree.chart.axis.ValueAxis	Message: Usage skipped! Value difference is greater than or equals to 0.0!
011	#=1:1	-10:9	=0:0	-7:0	BD0.000000:BI0.000000:BF0.000000	DD0.000000:DI0.000000:DF0.000000	UD0.000000:UI0.000000:UF0.000000	org.jfree.chart.axis.Axis::notifyListeners(AxisChangeEvent):void	org.jfree.chart.event.AxisChangeEvent	Message: Usage skipped! Value difference is greater than or equals to 0.0!
011	#=1:1	-11:10	=0:0	-18:0	BD0.000000:BI0.000000:BF0.000000	DD0.000000:DI0.000000:DF0.000000	UD0.000000:UI0.000000:UF0.000000	org.jfree.chart.JFreeChart::notifyListeners(ChartProgressEvent):void	org.jfree.chart.event.ChartProgressEvent	Message: Usage skipped! Value difference is greater than or equals to 0.0!
011	#=1:1	-15:14	=0:0	-20:0	BD0.000000:BI0.000000:BF0.000000	DD0.000000:DI0.000000:DF0.000000	UD0.000000:UI0.000000:UF0.000000	org.jfree.chart.JFreeChart::notifyListeners(ChartProgressEvent):void	org.jfree.chart.event.ChartProgressEvent	Message: Usage skipped! Value difference is greater than or equals to 0.0!
011	#=2:2	-3:2	=0:0	-3:1	BD0.666667:BI0.333333:BF1.000000	DD0.666667:DI0.333333:DF1.000000	UD0.000000:UI0.000000:UF0.000000	org.jfree.chart.block.AbstractBlock::drawBorder(Graphics2D, Rectangle2D):void	org.jfree.chart.block.BlockFrame	Message: Usage skipped! Value difference is greater than or equals to 0.0!
011	#=2:2	=3:3	=0:0	-5:1	BD0.666667:BI0.333333:BF1.000000	DD0.666667:DI0.333333:DF1.000000	UD0.000000:UI0.000000:UF0.000000	org.jfree.chart.block.AbstractBlock::drawBorder(Graphics2D, Rectangle2D):void	org.jfree.chart.block.BlockFrame	Message: Usage skipped! Value difference is greater than or equals to 0.0!
011	#=3:3	-14:11	=0:0	-10:2	BD0.666667:BI0.000000:BF0.666667	DD0.666667:DI0.000000:DF0.666667	UD0.000000:UI0.000000:UF0.000000	org.jfree.chart.renderer.category.AbstractCategoryItemRenderer::updateCrosshairValues(CategoryCrosshairState, Comparable, Comparable, double, int, double, double, PlotOrientation):void	org.jfree.chart.plot.CategoryCrosshairState	Message: Usage skipped! Value difference is greater than or equals to 0.0!
011	#=3:3	-14:13	=0:0	-36:5	BD0.137755:BI0.012245:BF0.150000	DD0.137755:DI0.012245:DF0.150000	UD0.000000:UI0.000000:UF0.000000	org.jfree.chart.plot.CategoryPlot::calculateRangeAxisSpace(Graphics2D, Rectangle2D, AxisSpace):AxisSpace	org.jfree.chart.axis.AxisSpace	Message: Usage skipped! Value difference is greater than or equals to 0.0!
011	#=3:3	=10:10	=0:0	-18:3	BD0.113725:BI0.052941:BF0.166667	DD0.113725:DI0.052941:DF0.166667	UD0.000000:UI0.000000:UF0.000000	org.jfree.chart.JFreeChart::drawTitle(Title, Graphics2D, Rectangle2D, boolean):EntityCollection	org.jfree.chart.title.Title	Message: Usage skipped! Value difference is greater than or equals to 0.0!
011	++0:1	=13:13	=0:0	-19:1	BD0.000000:BI1.000000:BF1.000000	DD0.000000:DI1.000000:DF1.000000	UD0.000000:UI0.000000:UF0.000000	org.jfree.experimental.chart.swt.ChartComposite::getScreenDataArea():Rectangle	org.jfree.chart.ChartRenderingInfo	Message: Usage skipped! Value difference is greater than or equals to 0.0!
011	++1:2	-1:0	=0:0	+1:5	BD0.000000:BI0.000000:BF0.000000	DD0.000000:DI0.000000:DF0.000000	UD0.000000:UI0.000000:UF0.000000	org.jfree.data.jdbc.JDBCCategoryDataset::executeQuery(Connection, String):void	org.jfree.data.DefaultKeyedValues2D	Message: Usage skipped! Value difference is greater than or equals to 0.0!
011	++1:2	-6:5	=0:0	+2:3	BD0.500000:BI0.000000:BF0.500000	DD0.500000:DI0.000000:DF0.500000	UD0.000000:UI0.000000:UF0.000000	org.jfree.chart.plot.SpiderWebPlot::setDataset(CategoryDataset):void	org.jfree.chart.labels.CategoryItemLabelGenerator	Message: Usage skipped! Value difference is greater than or equals to 0.0!
011	++1:2	-6:5	=0:0	-3:1	BD0.333333:BI0.000000:BF0.333333	DD0.333333:DI0.000000:DF0.333333	UD0.000000:UI0.000000:UF0.000000	org.jfree.chart.plot.PiePlot::setDataset(PieDataset):void	org.jfree.chart.labels.PieToolTipGenerator	Message: Usage skipped! Value difference is greater than or equals to 0.0!
011	++1:2	=15:15	=0:0	-15:1	BD0.485714:BI0.014286:BF0.500000	DD0.485714:DI0.014286:DF0.500000	UD0.000000:UI0.000000:UF0.000000	org.jfree.chart.plot.ContourPlot::setDataset(ContourDataset):void	org.jfree.chart.labels.ContourToolTipGenerator	Message: Usage skipped! Value difference is greater than or equals to 0.0!
011	++1:2	=7:7	=0:0	-10:5	BD0.155556:BI0.015873:BF0.171429	DD0.155556:DI0.015873:DF0.171429	UD0.000000:UI0.000000:UF0.000000	org.jfree.chart.plot.PolarPlot::translateValueThetaRadiusToJava2D(double, double, Rectangle2D):Point	org.jfree.chart.renderer.PolarItemRenderer	Message: Usage skipped! Value difference is greater than or equals to 0.0!
