-0.053010-111	org.apache.tapestry5.json.JSONArray::parse(JSONTokener):void	org.apache.tapestry5.json.JSONTokener
-0.086778-111	org.apache.tapestry5.internal.services.ClientBehaviorSupportImpl::addElementInit(String, String, JSONObject):void	org.apache.tapestry5.json.JSONObject
-0.116257-111	org.apache.tapestry5.internal.transform.RenderPhaseMethodWorker::addMethodCallToBody(BodyBuilder, TransformMethodSignature, ClassTransformation):void	org.apache.tapestry5.ioc.util.BodyBuilder
-0.118889-111	org.apache.tapestry.mojo.ComponentReport::readParameters(ClassDescription, Element):void	org.apache.tapestry.mojo.ClassDescription
-0.126296-111	org.apache.tapestry.mojo.ComponentReport::readEvents(ClassDescription, Element):void	org.apache.tapestry.mojo.ClassDescription
-0.126296-111	org.apache.tapestry.mojo.ComponentReport::readPublishedParameters(ClassDescription, Element):void	org.apache.tapestry.mojo.ClassDescription
-0.135980-111	org.apache.tapestry5.internal.services.InternalClassTransformationImpl::match(CtMethod, TransformMethodSignature):boolean	org.apache.tapestry5.services.TransformMethodSignature
-0.144444-111	org.apache.tapestry5.ioc.internal.services.BridgeBuilder::addBridgeMethod(int, MethodSignature, MethodSignature):void	org.apache.tapestry5.ioc.services.MethodSignature
-0.151408-111	org.apache.tapestry5.test.PageTester::extractNonBlank(Element, String):String	org.apache.tapestry5.dom.Element
-0.151408-111	org.apache.tapestry5.test.PageTester::validateElementName(Element, String):void	org.apache.tapestry5.dom.Element
-0.159269-111	org.apache.tapestry5.ioc.internal.services.FilterMethodAnalyzer::findServiceInterfacePosition(MethodSignature, MethodSignature):int	org.apache.tapestry5.ioc.services.MethodSignature
-0.169266-111	org.apache.tapestry5.internal.services.InternalClassTransformationImpl::addMethodToDescription(String, TransformMethodSignature, String):void	org.apache.tapestry5.services.TransformMethodSignature
-0.195714-111	org.apache.tapestry5.internal.util.MethodInvocationBuilder::buildMethodInvocation(TransformMethodSignature, ClassTransformation):String	org.apache.tapestry5.services.TransformMethodSignature
-0.213363-111	org.apache.tapestry5.internal.pageload.PageLoaderImpl::queueOverrideTokensForExtensionPoint(ExtensionPointToken, Stack<TemplateToken>, List<ComponentTemplate>):void	org.apache.tapestry5.internal.parser.ExtensionPointToken
-0.275216-111	org.apache.tapestry5.internal.transform.OnEventWorker::extractComponentId(TransformMethodSignature, OnEvent):String	org.apache.tapestry5.services.TransformMethodSignature
-0.275216-111	org.apache.tapestry5.internal.transform.OnEventWorker::extractEventType(TransformMethodSignature, OnEvent):String	org.apache.tapestry5.services.TransformMethodSignature
-0.431786-111	org.apache.tapestry5.ioc.internal.services.ChainBuilderImpl::addVoidMethod(ClassFab, Class, MethodSignature):void	org.apache.tapestry5.ioc.services.MethodSignature
-0.452431-111	org.apache.tapestry5.internal.pageload.PageLoaderImpl::consumeToEndElementAndPopBodyElement(AssemblerContext):void	org.apache.tapestry5.internal.pageload.AssemblerContext
-0.452431-111	org.apache.tapestry5.internal.pageload.PageLoaderImpl::expansion(AssemblerContext):void	org.apache.tapestry5.internal.pageload.AssemblerContext
-0.463542-111	org.apache.tapestry5.internal.pageload.PageLoaderImpl::attribute(AssemblerContext):void	org.apache.tapestry5.internal.pageload.AssemblerContext
0.000000-000	org.example.testapp.services.SpringStatusProvider::onSuccess(Start):void	org.example.testapp.pages.Start
0.000000-011	org.apache.tapestry5.corelib.mixins.NotEmpty::afterRender():void	org.apache.tapestry5.dom.Element
0.046555-011	org.apache.tapestry5.internal.services.ClientBehaviorSupportImpl::addFunction(JSONObject, String, String):void	org.apache.tapestry5.json.JSONObject
0.105921-000	org.apache.tapestry5.ioc.services.MethodSignature::failIfNotFrozen(InternalClassTransformationImpl):void	org.apache.tapestry5.internal.services.InternalClassTransformationImpl
0.117761-011	org.apache.tapestry5.internal.services.RenderSupportImpl::addInitFunctionInvocation(String, Object):void	org.apache.tapestry5.json.JSONObject
0.153708-011	org.apache.tapestry5.dom.Element::addMappingIfNeeded(MapHolder, String):void	org.apache.tapestry5.dom.MapHolder
0.303333-011	org.apache.tapestry5.internal.services.StaxTemplateParser::ensureParameterWithinComponent(TemplateParserState):void	org.apache.tapestry5.internal.services.TemplateParserState
0.336458-011	org.apache.tapestry5.internal.pageload.PageLoaderImpl::cdata(AssemblerContext):void	org.apache.tapestry5.internal.pageload.AssemblerContext
0.336458-011	org.apache.tapestry5.internal.pageload.PageLoaderImpl::comment(AssemblerContext):void	org.apache.tapestry5.internal.pageload.AssemblerContext
0.336458-011	org.apache.tapestry5.internal.pageload.PageLoaderImpl::defineNamespacePrefix(AssemblerContext):void	org.apache.tapestry5.internal.pageload.AssemblerContext
0.336458-011	org.apache.tapestry5.internal.pageload.PageLoaderImpl::text(AssemblerContext):void	org.apache.tapestry5.internal.pageload.AssemblerContext
0.347569-011	org.apache.tapestry5.internal.pageload.PageLoaderImpl::dtd(AssemblerContext):void	org.apache.tapestry5.internal.pageload.AssemblerContext
0.530088-011	org.apache.tapestry5.test.PageTester::assertIsSubmit(Element):void	org.apache.tapestry5.dom.Element
