-0.020602-100	org.jfree.chart.plot.Plot::setPlot(Axis):void	org.jfree.chart.axis.Axis
-0.023970-111	org.jfree.chart.renderer.category.AbstractCategoryItemRenderer::drawRangeLine(Graphics2D, CategoryPlot, ValueAxis, Rectangle2D, double, Paint, Stroke):void	org.jfree.chart.plot.CategoryPlot
E11	org.jfree.chart.renderer.category.CategoryStepRenderer::drawLine(java.awt.Graphics2D, org.jfree.chart.renderer.category.CategoryStepRenderer.State, org.jfree.chart.plot.PlotOrientation, double, double, double, double):void	org.jfree.chart.renderer.category.CategoryStepRenderer.State	 Error: End position lies outside document range
E11	org.jfree.chart.renderer.category.LevelRenderer::calculateSeriesWidth(double, org.jfree.chart.axis.CategoryAxis, int, int):double	org.jfree.chart.axis.CategoryAxis	 Error: End position lies outside document range
E11	org.jfree.chart.renderer.xy.AbstractXYItemRenderer::drawDomainLine(java.awt.Graphics2D, org.jfree.chart.plot.XYPlot, org.jfree.chart.axis.ValueAxis, java.awt.geom.Rectangle2D, double, java.awt.Paint, java.awt.Stroke):void	org.jfree.chart.axis.ValueAxis	 Error: End position lies outside document range
E11	org.jfree.chart.renderer.xy.AbstractXYItemRenderer::drawDomainLine(java.awt.Graphics2D, org.jfree.chart.plot.XYPlot, org.jfree.chart.axis.ValueAxis, java.awt.geom.Rectangle2D, double, java.awt.Paint, java.awt.Stroke):void	org.jfree.chart.plot.XYPlot	 Error: End position lies outside document range
E11	org.jfree.chart.renderer.xy.AbstractXYItemRenderer::updateCrosshairValues(org.jfree.chart.plot.CrosshairState, double, double, int, int, double, double, org.jfree.chart.plot.PlotOrientation):void	org.jfree.chart.plot.CrosshairState	 Error: End position lies outside document range
E11	org.jfree.chart.renderer.xy.XYItemRendererState::drawPrimaryLine2(org.jfree.experimental.chart.renderer.xy.XYSmoothLineAndShapeRenderer, java.awt.Graphics2D, org.jfree.chart.plot.XYPlot, org.jfree.data.xy.XYDataset, int, int, int, org.jfree.chart.axis.ValueAxis, org.jfree.chart.axis.ValueAxis, java.awt.geom.Rectangle2D):void	org.jfree.chart.plot.XYPlot	 Error: End position lies outside document range
E11	org.jfree.chart.renderer.xy.XYLineAndShapeRenderer::drawPrimaryLine(org.jfree.chart.renderer.xy.XYItemRendererState, java.awt.Graphics2D, org.jfree.chart.plot.XYPlot, org.jfree.data.xy.XYDataset, int, int, int, org.jfree.chart.axis.ValueAxis, org.jfree.chart.axis.ValueAxis, java.awt.geom.Rectangle2D):void	org.jfree.chart.plot.XYPlot	 Error: End position lies outside document range
E11	org.jfree.chart.renderer.xy.XYLineAndShapeRenderer::drawPrimaryLineAsPath(org.jfree.chart.renderer.xy.XYItemRendererState, java.awt.Graphics2D, org.jfree.chart.plot.XYPlot, org.jfree.data.xy.XYDataset, int, int, int, org.jfree.chart.axis.ValueAxis, org.jfree.chart.axis.ValueAxis, java.awt.geom.Rectangle2D):void	org.jfree.chart.plot.XYPlot	 Error: End position lies outside document range
E11	org.jfree.data.RangeType::autoAdjustRange2(org.jfree.chart.axis.NumberAxis):void	org.jfree.chart.axis.NumberAxis	 Error: End position lies outside document range
E11	org.jfree.data.general.WaferMapDataset::getChipValue(java.lang.Comparable, java.lang.Comparable):java.lang.Number	org.jfree.data.DefaultKeyedValues2D	 Error: End position lies outside document range
E11	org.jfree.data.general.WaferMapDataset::getUniqueValues():java.util.Set	org.jfree.data.DefaultKeyedValues2D	 Error: End position lies outside document range
